time,binance,okx,spread_bps,elapsed_s,signal
09:48:45,76375.27,76374.9,0.0,0.14,
09:49:05,76353.3,76350.8,0.3,0.24,
09:49:15,76351.07,76349.0,0.3,0.14,
09:49:35,76380.0,76383.7,-0.5,0.14,
09:49:45,76387.08,76384.8,0.3,0.15,
09:50:05,76387.08,76384.9,0.3,0.14,
09:50:15,76387.08,76384.8,0.3,0.12,
09:50:35,76375.81,76384.8,-1.2,0.14,
09:50:45,76388.42,76385.0,0.4,0.14,
09:51:05,76372.6,76370.0,0.3,0.13,
09:51:15,76352.24,76349.0,0.4,0.14,
09:51:35,76347.52,76348.5,-0.1,0.13,
09:51:45,76347.52,76348.9,-0.2,0.14,
09:52:05,76336.83,76343.2,-0.8,0.13,
09:52:15,76344.93,76346.7,-0.2,0.13,
09:52:35,76348.45,76349.9,-0.2,0.14,
09:52:45,76366.56,76361.3,0.7,0.14,
09:53:05,76373.1,76375.3,-0.3,0.14,
09:53:15,76373.99,76377.1,-0.4,0.12,
09:53:35,76379.99,76379.3,0.1,0.13,
09:53:45,76389.24,76388.9,0.0,0.13,
09:54:05,76428.57,76428.4,0.0,0.13,
09:54:15,76453.58,76452.5,0.1,0.14,
09:54:35,76378.14,76376.9,0.2,0.13,
09:54:45,76354.23,76354.1,0.0,0.13,
09:55:05,76388.83,76384.2,0.6,0.14,
